,city,price,carat,clarity,color,cut,depth,table,x,y,z
0,Amsterdam,6216,1.0,VS2,G,Premium,61.6,54.0,6.49,6.46,3.99
1,Amsterdam,675,0.3,VS2,G,Premium,60.6,60.0,4.34,4.3,2.62
2,Amsterdam,1841,0.62,VS2,G,Premium,61.1,59.0,5.56,5.5,3.38
3,Amsterdam,720,0.32,VS2,G,Premium,60.2,57.0,4.45,4.42,2.67
4,Amsterdam,8874,1.39,VS2,G,Premium,62.0,56.0,7.18,7.14,4.44
5,Amsterdam,847,0.42,VS2,G,Premium,59.5,59.0,4.83,4.89,2.89
6,Amsterdam,561,0.32,VS2,G,Premium,60.5,58.0,4.41,4.42,2.67
7,Amsterdam,579,0.33,VS2,G,Premium,62.6,58.0,4.41,4.44,2.77
8,Amsterdam,7603,1.2,VS2,G,Premium,61.4,60.0,6.77,6.81,4.17
9,Amsterdam,765,0.34,VS2,G,Premium,60.3,59.0,4.53,4.49,2.72
10,Amsterdam,5759,1.01,VS2,G,Premium,61.2,58.0,6.46,6.49,3.96
11,Amsterdam,827,0.41,VS2,G,Premium,60.9,58.0,4.8,4.83,2.93
12,Amsterdam,8062,1.22,VS2,G,Premium,61.1,56.0,6.94,6.85,4.21
13,Amsterdam,13299,1.56,VS2,G,Premium,61.9,58.0,7.44,7.4,4.59
14,Amsterdam,743,0.33,VS2,G,Premium,61.9,59.0,4.46,4.4,2.74
15,Amsterdam,15801,1.72,VS2,G,Premium,61.1,58.0,7.69,7.73,4.71
16,Amsterdam,1546,0.51,VS2,G,Premium,62.4,58.0,5.12,5.11,3.19
17,Amsterdam,2314,0.7,VS2,G,Premium,62.1,60.0,5.71,5.65,3.53
18,Amsterdam,4386,0.9,VS2,G,Premium,61.8,60.0,6.16,6.21,3.82
19,Amsterdam,9296,1.31,VS2,G,Premium,60.3,58.0,7.13,7.1,4.29
20,Amsterdam,2839,0.79,VS2,G,Premium,59.3,62.0,6.09,6.01,3.59
21,Amsterdam,5593,1.02,VS2,G,Premium,62.9,58.0,6.41,6.37,4.02
22,Amsterdam,6070,1.05,VS2,G,Premium,61.8,58.0,6.52,6.59,4.05
23,Amsterdam,1637,0.54,VS2,G,Premium,58.7,62.0,5.36,5.34,3.14
24,Amsterdam,6296,1.06,VS2,G,Premium,60.4,58.0,6.64,6.68,4.02
25,Amsterdam,720,0.32,VS2,G,Premium,61.7,60.0,4.4,4.32,2.69
